from,to,time,time_period,edge,directly
GRH,KKVD,1916,1,,1
KKVD,AW,1916,1,,2
AW,CHS,1921,2,,2
CHS,HG,1924,2,,2
HG,RLFG,1956,6,,1
RLFG,HEG,1956,6,,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
FEM,BAB,,4,14,
BAB,FEM,,4,14,
FEM,KB,,4,14,
KB,FEM,,4,14,
FEM,HV,,4,14,
HV,FEM,,4,14,
FEM,HG,,4,14,
HG,FEM,,4,14,
BAB,KB,,4,14,
KB,BAB,,4,14,
BAB,HV,,4,14,
HV,BAB,,4,14,
BAB,HG,,4,14,
HG,BAB,,4,14,
KB,HV,,4,14,
HV,KB,,4,14,
KB,HG,,4,14,
HG,KB,,4,14,
KB,FEM,,4,14,
FEM,KB,,4,14,
HV,BAB,,4,14,
HV,KB,,4,14,
HV,HG,,4,14,
HG,HV,,4,14,
HG,HP,,4,14,
HG,GS,,4,14,
GS,HV,,4,14,
HV,GS,,4,14,
GS,EG,,4,14,
HG,EG,,4,14,
EG,GS,,4,14,
EG,HG,,4,14,
HG,AdW,,,13,
AdW,HG,,,13,
HG,RG,,,13,
RG,HG,,,13,
HG,TH,,,13,
TH,HG,,,13,
HG,AS,,,13,
AS,HG,,,13,
HG,HE,,,13,
HE,HG,,,13,
HG,JL,,,13,
JL,HG,,,13,
HG,VM,,,14,
VM,HG,,,14,
HG,EG,,,13,
EG,HG,,,13,
HG,MF,,,13,
MF,HG,,,13,
HG,JOL,,,14,
JOL,HG,,,14,
HG,PiR,,,14,
PiR,HG,,,14,
HG,EA,,,13,
EA,HG,,,13,
AdW,MF,,,14,
MF,AdW,,,14,
AdW,AS,,,14,
AS,AdW,,,14,
AdW,RG,,,13,
RG,AdW,,,13,
AdW,VM,,,13,
VM,AdW,,,13,
AdW,JOL,,,13,
JOL,AdW,,,13,
AdW,EG,,,13,
EG,AdW,,,13,
RG,TH,,,13,
TH,RG,,,13,
RG,AS,,,13,
AS,RG,,,13,
TH,JOL,,,13,
JOL,TH,,,13,
TH,HE,,,14,
HE,TH,,,14,
AS,JL,,,14,
JL,AS,,,14,
AS,VM,,,14,
VM,AS,,,14,
AS,RG,,,14,
RG,AS,,,14,
AS,MF,,,14,
MF,AS,,,14,
AS,JOL,,,14,
JOL,AS,,,14,
JL,RG,,,14,
RG,JL,,,14,
JL,MF,,,14,
MF,JL,,,14,
JL,JOL,,,14,
JOL,JL,,,14,
VM,EG,,,13,
EG,VM,,,13,
MF,HE,,,13,
HE,MF,,,13,
JOL,EG,,,13,
EG,JOL,,,13,
KH,TH,,,14,
TH,KH,,,14,
KH,HE,,,13,
HE,KH,,,13,
JOL,KH,,,13,
KH,JOL,,,13,
EA,KH,,,13,
KH,EA,,,13,
